,State,County,Latitude,Longitude,AveragePop2015to2019
132,AR,Crittenden,34.7519275,-92.1313784,48671
133,AR,Cross,34.7519275,-92.1313784,16824
134,AR,Dallas,34.7519275,-92.1313784,7279
135,AR,Desha,34.7519275,-92.1313784,11709
136,AR,Drew,34.7519275,-92.1313784,18416
137,AR,Faulkner,34.7519275,-92.1313784,123624
138,AR,Franklin,34.7519275,-92.1313784,17738
139,AR,Fulton,34.7519275,-92.1313784,12230
140,AR,Garland,34.7519275,-92.1313784,98555
141,AR,Grant,34.7519275,-92.1313784,18125
142,AR,Greene,34.7519275,-92.1313784,44937
143,AR,Hempstead,34.7519275,-92.1313784,21842
144,AR,Hot Spring,34.7519275,-92.1313784,33596
145,AR,Howard,34.7519275,-92.1313784,13311
146,AR,Independence,34.7519275,-92.1313784,37427
147,AR,Izard,34.7519275,-92.1313784,13570
148,AR,Jackson,34.7519275,-92.1313784,17027
149,AR,Jefferson,34.7519275,-92.1313784,69281
150,AR,Johnson,34.7519275,-92.1313784,26371
151,AR,Lafayette,34.7519275,-92.1313784,6799
152,AR,Lawrence,34.7519275,-92.1313784,16548
153,AR,Lee,34.7519275,-92.1313784,9193
154,AR,Lincoln,34.7519275,-92.1313784,13455
155,AR,Little River,34.7519275,-92.1313784,12347
156,AR,Logan,34.7519275,-92.1313784,21667
157,AR,Lonoke,34.7519275,-92.1313784,72528
158,AR,Madison,34.7519275,-92.1313784,16210
159,AR,Marion,34.7519275,-92.1313784,16475
160,AR,Miller,34.7519275,-92.1313784,43572
161,AR,Mississippi,34.7519275,-92.1313784,42125
162,AR,Monroe,34.7519275,-92.1313784,7050
163,AR,Montgomery,34.7519275,-92.1313784,8949
164,AR,Nevada,34.7519275,-92.1313784,8351
165,AR,Newton,34.7519275,-92.1313784,7812
166,AR,Ouachita,34.7519275,-92.1313784,23829
167,AR,Perry,34.7519275,-92.1313784,10354
168,AR,Phillips,34.7519275,-92.1313784,18606
169,AR,Pike,34.7519275,-92.1313784,10756
170,AR,Poinsett,34.7519275,-92.1313784,23895
171,AR,Polk,34.7519275,-92.1313784,20093
172,AR,Pope,34.7519275,-92.1313784,63761
173,AR,Prairie,34.7519275,-92.1313784,8188
174,AR,Pulaski,34.7519275,-92.1313784,392967
175,AR,Randolph,34.7519275,-92.1313784,17694
176,AR,St. Francis,34.7519275,-92.1313784,25899
177,AR,Saline,34.7519275,-92.1313784,119415
178,AR,Scott,34.7519275,-92.1313784,10376
179,AR,Searcy,34.7519275,-92.1313784,7908
180,AR,Sebastian,34.7519275,-92.1313784,127590
181,AR,Sevier,34.7519275,-92.1313784,17080
182,AR,Sharp,34.7519275,-92.1313784,17138
183,AR,Stone,34.7519275,-92.1313784,12475
184,AR,Union,34.7519275,-92.1313784,39449
185,AR,Van Buren,34.7519275,-92.1313784,16641
186,AR,Washington,34.7519275,-92.1313784,232289
187,AR,White,34.7519275,-92.1313784,78762
188,AR,Woodruff,34.7519275,-92.1313784,6533
189,AR,Yell,34.7519275,-92.1313784,21464
190,CA,California,37.2718745,-119.2704153,39283494
191,CA,Alameda,37.2718745,-119.2704153,1656753
192,CA,Alpine,37.2718745,-119.2704153,1090
193,CA,Amador,37.2718745,-119.2704153,38429
194,CA,Butte,37.2718745,-119.2704153,225816
195,CA,Calaveras,37.2718745,-119.2704153,45514
196,CA,Colusa,37.2718745,-119.2704153,21454
197,CA,Contra Costa,37.2718745,-119.2704153,1142250
198,CA,Del Norte,37.2718745,-119.2704153,27495
199,CA,El Dorado,37.2718745,-119.2704153,188562
200,CA,Fresno,37.2718745,-119.2704153,984521
201,CA,Glenn,37.2718745,-119.2704153,27975
202,CA,Humboldt,37.2718745,-119.2704153,135940
203,CA,Imperial,37.2718745,-119.2704153,180700
204,CA,Inyo,37.2718745,-119.2704153,17976
205,CA,Kern,37.2718745,-119.2704153,887640
206,CA,Kings,37.2718745,-119.2704153,150690
207,CA,Lake,37.2718745,-119.2704153,64195
208,CA,Lassen,37.2718745,-119.2704153,30817
209,CA,Los Angeles,37.2718745,-119.2704153,10081569
210,CA,Madera,37.2718745,-119.2704153,155432
211,CA,Marin,37.2718745,-119.2704153,259943
212,CA,Mariposa,37.2718745,-119.2704153,17420
213,CA,Mendocino,37.2718745,-119.2704153,87223
214,CA,Merced,37.2718745,-119.2704153,271381
215,CA,Modoc,37.2718745,-119.2704153,8906
216,CA,Mono,37.2718745,-119.2704153,14310
217,CA,Monterey,37.2718745,-119.2704153,433410
218,CA,Napa,37.2718745,-119.2704153,139622
219,CA,Nevada,37.2718745,-119.2704153,99243
220,CA,Orange,37.2718745,-119.2704153,3168044
221,CA,Placer,37.2718745,-119.2704153,385511
222,CA,Plumas,37.2718745,-119.2704153,18660
223,CA,Riverside,37.2718745,-119.2704153,2411439
224,CA,Sacramento,37.2718745,-119.2704153,1524553
225,CA,San Benito,37.2718745,-119.2704153,60376
226,CA,San Bernardino,37.2718745,-119.2704153,2149030
227,CA,San Diego,37.2718745,-119.2704153,3316073
228,CA,San Francisco,37.2718745,-119.2704153,874961
229,CA,San Joaquin,37.2718745,-119.2704153,742603
230,CA,San Luis Obispo,37.2718745,-119.2704153,282165
231,CA,San Mateo,37.2718745,-119.2704153,767423
232,CA,Santa Barbara,37.2718745,-119.2704153,444829
233,CA,Santa Clara,37.2718745,-119.2704153,1927470
234,CA,Santa Cruz,37.2718745,-119.2704153,273961
235,CA,Shasta,37.2718745,-119.2704153,179211
236,CA,Sierra,37.2718745,-119.2704153,2988
237,CA,Siskiyou,37.2718745,-119.2704153,43468
238,CA,Solano,37.2718745,-119.2704153,441829
239,CA,Sonoma,37.2718745,-119.2704153,499771
240,CA,Stanislaus,37.2718745,-119.2704153,543193
241,CA,Sutter,37.2718745,-119.2704153,96109
242,CA,Tehama,37.2718745,-119.2704153,63912
243,CA,Trinity,37.2718745,-119.2704153,12700
244,CA,Tulare,37.2718745,-119.2704153,461897
245,CA,Tuolumne,37.2718745,-119.2704153,54045
246,CA,Ventura,37.2718745,-119.2704153,847263
247,CA,Yolo,37.2718745,-119.2704153,217351
248,CA,Yuba,37.2718745,-119.2704153,76360
249,CO,Colorado,38.9979339,-105.550567,5610349
250,CO,Adams,38.9979339,-105.550567,504108
251,CO,Alamosa,38.9979339,-105.550567,16107
252,CO,Arapahoe,38.9979339,-105.550567,644559
253,CO,Archuleta,38.9979339,-105.550567,13253
254,CO,Baca,38.9979339,-105.550567,3560
255,CO,Bent,38.9979339,-105.550567,5786
256,CO,Boulder,38.9979339,-105.550567,322510
257,CO,Broomfield,38.9979339,-105.550567,67886
258,CO,Chaffee,38.9979339,-105.550567,19557
259,CO,Cheyenne,38.9979339,-105.550567,1844
260,CO,Clear Creek,38.9979339,-105.550567,9495
261,CO,Conejos,38.9979339,-105.550567,8128
262,CO,Costilla,38.9979339,-105.550567,3744
263,CO,Crowley,38.9979339,-105.550567,5754
264,CO,Custer,38.9979339,-105.550567,4776
265,CO,Delta,38.9979339,-105.550567,30564
266,CO,Denver,38.9979339,-105.550567,705576
267,CO,Dolores,38.9979339,-105.550567,2039
268,CO,Douglas,38.9979339,-105.550567,336040
269,CO,Eagle,38.9979339,-105.550567,54681
270,CO,Elbert,38.9979339,-105.550567,25716
271,CO,El Paso,38.9979339,-105.550567,698973
272,CO,Fremont,38.9979339,-105.550567,47320
273,CO,Garfield,38.9979339,-105.550567,59055
274,CO,Gilpin,38.9979339,-105.550567,6018
275,CO,Grand,38.9979339,-105.550567,15302
276,CO,Gunnison,38.9979339,-105.550567,16802
277,CO,Hinsdale,38.9979339,-105.550567,794
278,CO,Huerfano,38.9979339,-105.550567,6679
279,CO,Jackson,38.9979339,-105.550567,1374
280,CO,Jefferson,38.9979339,-105.550567,574798
281,CO,Kiowa,38.9979339,-105.550567,1375
282,CO,Kit Carson,38.9979339,-105.550567,7446
283,CO,Lake,38.9979339,-105.550567,7751
284,CO,La Plata,38.9979339,-105.550567,55617
285,CO,Larimer,38.9979339,-105.550567,344786
286,CO,Las Animas,38.9979339,-105.550567,14266
287,CO,Lincoln,38.9979339,-105.550567,5584
288,CO,Logan,38.9979339,-105.550567,22380
289,CO,Mesa,38.9979339,-105.550567,151218
290,CO,Mineral,38.9979339,-105.550567,758
291,CO,Moffat,38.9979339,-105.550567,13127
292,CO,Montezuma,38.9979339,-105.550567,26031
293,CO,Montrose,38.9979339,-105.550567,41686
294,CO,Morgan,38.9979339,-105.550567,28516
295,CO,Otero,38.9979339,-105.550567,18281
296,CO,Ouray,38.9979339,-105.550567,4796
297,CO,Park,38.9979339,-105.550567,17866
298,CO,Phillips,38.9979339,-105.550567,4289
299,CO,Pitkin,38.9979339,-105.550567,17926
300,CO,Prowers,38.9979339,-105.550567,12022
301,CO,Pueblo,38.9979339,-105.550567,165981
302,CO,Rio Blanco,38.9979339,-105.550567,6384
303,CO,Rio Grande,38.9979339,-105.550567,11304
304,CO,Routt,38.9979339,-105.550567,25071
305,CO,Saguache,38.9979339,-105.550567,6592
306,CO,San Juan,38.9979339,-105.550567,716
307,CO,San Miguel,38.9979339,-105.550567,8049
308,CO,Sedgwick,38.9979339,-105.550567,2321
309,CO,Summit,38.9979339,-105.550567,30649
310,CO,Teller,38.9979339,-105.550567,24524
311,CO,Washington,38.9979339,-105.550567,4867
312,CO,Weld,38.9979339,-105.550567,305344
313,CO,Yuma,38.9979339,-105.550567,10003
314,CT,Connecticut,41.5187835,-72.757507,3575073
315,CT,Fairfield,41.5187835,-72.757507,943926
316,CT,Hartford,41.5187835,-72.757507,893561
317,CT,Litchfield,41.5187835,-72.757507,182002
318,CT,Middlesex,41.5187835,-72.757507,163052
319,CT,New Haven,41.5187835,-72.757507,857512
320,CT,New London,41.5187835,-72.757507,267389
321,CT,Tolland,41.5187835,-72.757507,151063
322,CT,Windham,41.5187835,-72.757507,116565
323,DE,Delaware,39.145251,-75.4189206,957247
324,DE,Kent,39.145251,-75.4189206,176699
325,DE,New Castle,39.145251,-75.4189206,556165
326,DE,Sussex,39.145251,-75.4189206,224383
327,DC,District of Columbia,38.8993487,-77.0145666,692683
328,DC,District of Columbia,38.8993487,-77.0145666,692683
329,FL,Florida,27.9757279,-83.8330166,20901637
330,FL,Alachua,27.9757279,-83.8330166,265442
331,FL,Baker,27.9757279,-83.8330166,28211
332,FL,Bay,27.9757279,-83.8330166,182160
333,FL,Bradford,27.9757279,-83.8330166,27316
334,FL,Brevard,27.9757279,-83.8330166,585506
335,FL,Broward,27.9757279,-83.8330166,1926204
336,FL,Calhoun,27.9757279,-83.8330166,14362
337,FL,Charlotte,27.9757279,-83.8330166,181066
338,FL,Citrus,27.9757279,-83.8330166,145169
339,FL,Clay,27.9757279,-83.8330166,211405
340,FL,Collier,27.9757279,-83.8330166,371453
341,FL,Columbia,27.9757279,-83.8330166,69968
342,FL,DeSoto,27.9757279,-83.8330166,36902
343,FL,Dixie,27.9757279,-83.8330166,16588
344,FL,Duval,27.9757279,-83.8330166,936185
345,FL,Escambia,27.9757279,-83.8330166,313490
346,FL,Flagler,27.9757279,-83.8330166,109801
347,FL,Franklin,27.9757279,-83.8330166,11811
348,FL,Gadsden,27.9757279,-83.8330166,45945
349,FL,Gilchrist,27.9757279,-83.8330166,17953
350,FL,Glades,27.9757279,-83.8330166,13516
351,FL,Gulf,27.9757279,-83.8330166,15576
352,FL,Hamilton,27.9757279,-83.8330166,14325
353,FL,Hardee,27.9757279,-83.8330166,27131
354,FL,Hendry,27.9757279,-83.8330166,40732
355,FL,Hernando,27.9757279,-83.8330166,186313
356,FL,Highlands,27.9757279,-83.8330166,103436
357,FL,Hillsborough,27.9757279,-83.8330166,1422277
358,FL,Holmes,27.9757279,-83.8330166,19431
359,FL,Indian River,27.9757279,-83.8330166,153988
360,FL,Jackson,27.9757279,-83.8330166,47944
361,FL,Jefferson,27.9757279,-83.8330166,14161
362,FL,Lafayette,27.9757279,-83.8330166,8637
363,FL,Lake,27.9757279,-83.8330166,345867
364,FL,Lee,27.9757279,-83.8330166,737468
365,FL,Leon,27.9757279,-83.8330166,289770
366,FL,Levy,27.9757279,-83.8330166,40403
367,FL,Liberty,27.9757279,-83.8330166,8345
368,FL,Madison,27.9757279,-83.8330166,18460
369,FL,Manatee,27.9757279,-83.8330166,384213
370,FL,Marion,27.9757279,-83.8330166,353526
371,FL,Martin,27.9757279,-83.8330166,159065
372,FL,Miami-Dade,27.9757279,-83.8330166,2699428
373,FL,Monroe,27.9757279,-83.8330166,75797
374,FL,Nassau,27.9757279,-83.8330166,83098
375,FL,Okaloosa,27.9757279,-83.8330166,203793
376,FL,Okeechobee,27.9757279,-83.8330166,41144
377,FL,Orange,27.9757279,-83.8330166,1349746
378,FL,Osceola,27.9757279,-83.8330166,351955
379,FL,Palm Beach,27.9757279,-83.8330166,1465027
380,FL,Pasco,27.9757279,-83.8330166,524602
381,FL,Pinellas,27.9757279,-83.8330166,964665
382,FL,Polk,27.9757279,-83.8330166,686217
383,FL,Putnam,27.9757279,-83.8330166,73252
384,FL,St. Johns,27.9757279,-83.8330166,244673
385,FL,St. Lucie,27.9757279,-83.8330166,312946
386,FL,Santa Rosa,27.9757279,-83.8330166,174755
387,FL,Sarasota,27.9757279,-83.8330166,419496
388,FL,Seminole,27.9757279,-83.8330166,461402
389,FL,Sumter,27.9757279,-83.8330166,125043
390,FL,Suwannee,27.9757279,-83.8330166,44046
391,FL,Taylor,27.9757279,-83.8330166,21869
392,FL,Union,27.9757279,-83.8330166,15303
393,FL,Volusia,27.9757279,-83.8330166,536487
394,FL,Wakulla,27.9757279,-83.8330166,32321
395,FL,Walton,27.9757279,-83.8330166,68262
396,FL,Washington,27.9757279,-83.8330166,24763
397,GA,Georgia,32.6781248,-83.2229757,10403844
398,GA,Appling,32.6781248,-83.2229757,18440
399,GA,Atkinson,32.6781248,-83.2229757,8238
400,GA,Bacon,32.6781248,-83.2229757,11201
401,GA,Baker,32.6781248,-83.2229757,3132
402,GA,Baldwin,32.6781248,-83.2229757,45110
403,GA,Banks,32.6781248,-83.2229757,18708
404,GA,Barrow,32.6781248,-83.2229757,78990
405,GA,Bartow,32.6781248,-83.2229757,104919
406,GA,Ben Hill,32.6781248,-83.2229757,17033
407,GA,Berrien,32.6781248,-83.2229757,19151
408,GA,Bibb,32.6781248,-83.2229757,153199
409,GA,Bleckley,32.6781248,-83.2229757,12807
410,GA,Brantley,32.6781248,-83.2229757,18755
411,GA,Brooks,32.6781248,-83.2229757,15589
412,GA,Bryan,32.6781248,-83.2229757,37063
413,GA,Bulloch,32.6781248,-83.2229757,76119
414,GA,Burke,32.6781248,-83.2229757,22520
415,GA,Butts,32.6781248,-83.2229757,24090
416,GA,Calhoun,32.6781248,-83.2229757,6364
417,GA,Camden,32.6781248,-83.2229757,53231
418,GA,Candler,32.6781248,-83.2229757,10811
419,GA,Carroll,32.6781248,-83.2229757,117183
420,GA,Catoosa,32.6781248,-83.2229757,66699
421,GA,Charlton,32.6781248,-83.2229757,13040
422,GA,Chatham,32.6781248,-83.2229757,288495
423,GA,Chattahoochee,32.6781248,-83.2229757,10560
424,GA,Chattooga,32.6781248,-83.2229757,24811
425,GA,Cherokee,32.6781248,-83.2229757,247514
426,GA,Clarke,32.6781248,-83.2229757,126176
427,GA,Clay,32.6781248,-83.2229757,2951
428,GA,Clayton,32.6781248,-83.2229757,283538
429,GA,Clinch,32.6781248,-83.2229757,6686
430,GA,Cobb,32.6781248,-83.2229757,751218
431,GA,Coffee,32.6781248,-83.2229757,43020
432,GA,Colquitt,32.6781248,-83.2229757,45486
433,GA,Columbia,32.6781248,-83.2229757,150705
434,GA,Cook,32.6781248,-83.2229757,17177
435,GA,Coweta,32.6781248,-83.2229757,143260
436,GA,Crawford,32.6781248,-83.2229757,12324
437,GA,Crisp,32.6781248,-83.2229757,22712
438,GA,Dade,32.6781248,-83.2229757,16196
439,GA,Dawson,32.6781248,-83.2229757,24535
440,GA,Decatur,32.6781248,-83.2229757,26682
441,GA,DeKalb,32.6781248,-83.2229757,749323
442,GA,Dodge,32.6781248,-83.2229757,20828
443,GA,Dooly,32.6781248,-83.2229757,13735
444,GA,Dougherty,32.6781248,-83.2229757,89703
445,GA,Douglas,32.6781248,-83.2229757,143316
446,GA,Early,32.6781248,-83.2229757,10312
447,GA,Echols,32.6781248,-83.2229757,3981
448,GA,Effingham,32.6781248,-83.2229757,60477
449,GA,Elbert,32.6781248,-83.2229757,19165
450,GA,Emanuel,32.6781248,-83.2229757,22532
451,GA,Evans,32.6781248,-83.2229757,10687
452,GA,Fannin,32.6781248,-83.2229757,25395
453,GA,Fayette,32.6781248,-83.2229757,112302
454,GA,Floyd,32.6781248,-83.2229757,97369
455,GA,Forsyth,32.6781248,-83.2229757,228383
456,GA,Franklin,32.6781248,-83.2229757,22766
457,GA,Fulton,32.6781248,-83.2229757,1036199
458,GA,Gilmer,32.6781248,-83.2229757,30414
459,GA,Glascock,32.6781248,-83.2229757,2995
460,GA,Glynn,32.6781248,-83.2229757,84470
461,GA,Gordon,32.6781248,-83.2229757,57202
462,GA,Grady,32.6781248,-83.2229757,24827
463,GA,Greene,32.6781248,-83.2229757,17349
464,GA,Gwinnett,32.6781248,-83.2229757,915045
465,GA,Habersham,32.6781248,-83.2229757,44626
466,GA,Hall,32.6781248,-83.2229757,198667
467,GA,Hancock,32.6781248,-83.2229757,8515
468,GA,Haralson,32.6781248,-83.2229757,29226
469,GA,Harris,32.6781248,-83.2229757,34105
470,GA,Hart,32.6781248,-83.2229757,25773
471,GA,Heard,32.6781248,-83.2229757,11736
472,GA,Henry,32.6781248,-83.2229757,225356
473,GA,Houston,32.6781248,-83.2229757,153506
474,GA,Irwin,32.6781248,-83.2229757,9320
475,GA,Jackson,32.6781248,-83.2229757,67885
476,GA,Jasper,32.6781248,-83.2229757,13916
477,GA,Jeff Davis,32.6781248,-83.2229757,15036
478,GA,Jefferson,32.6781248,-83.2229757,15617
479,GA,Jenkins,32.6781248,-83.2229757,8793
480,GA,Johnson,32.6781248,-83.2229757,9690
481,GA,Jones,32.6781248,-83.2229757,28579
482,GA,Lamar,32.6781248,-83.2229757,18671
483,GA,Lanier,32.6781248,-83.2229757,10380
484,GA,Laurens,32.6781248,-83.2229757,47404
485,GA,Lee,32.6781248,-83.2229757,29502
486,GA,Liberty,32.6781248,-83.2229757,61348
487,GA,Lincoln,32.6781248,-83.2229757,7855
488,GA,Long,32.6781248,-83.2229757,18692
489,GA,Lowndes,32.6781248,-83.2229757,115364
490,GA,Lumpkin,32.6781248,-83.2229757,32402
491,GA,McDuffie,32.6781248,-83.2229757,21454
492,GA,McIntosh,32.6781248,-83.2229757,14173
493,GA,Macon,32.6781248,-83.2229757,13305
494,GA,Madison,32.6781248,-83.2229757,29218
495,GA,Marion,32.6781248,-83.2229757,8432
496,GA,Meriwether,32.6781248,-83.2229757,21105
497,GA,Miller,32.6781248,-83.2229757,5787
498,GA,Mitchell,32.6781248,-83.2229757,22243
499,GA,Monroe,32.6781248,-83.2229757,27171
500,GA,Montgomery,32.6781248,-83.2229757,9058
501,GA,Morgan,32.6781248,-83.2229757,18507
502,GA,Murray,32.6781248,-83.2229757,39723
503,GA,Muscogee,32.6781248,-83.2229757,195739
504,GA,Newton,32.6781248,-83.2229757,108078
505,GA,Oconee,32.6781248,-83.2229757,38132
506,GA,Oglethorpe,32.6781248,-83.2229757,14931
507,GA,Paulding,32.6781248,-83.2229757,159824
508,GA,Peach,32.6781248,-83.2229757,27145
509,GA,Pickens,32.6781248,-83.2229757,31386
510,GA,Pierce,32.6781248,-83.2229757,19249
511,GA,Pike,32.6781248,-83.2229757,18327
512,GA,Polk,32.6781248,-83.2229757,41907
513,GA,Pulaski,32.6781248,-83.2229757,11216
514,GA,Putnam,32.6781248,-83.2229757,21690
515,GA,Quitman,32.6781248,-83.2229757,2297
516,GA,Rabun,32.6781248,-83.2229757,16645
517,GA,Randolph,32.6781248,-83.2229757,6972
518,GA,Richmond,32.6781248,-83.2229757,201851
519,GA,Rockdale,32.6781248,-83.2229757,89717
520,GA,Schley,32.6781248,-83.2229757,5220
521,GA,Screven,32.6781248,-83.2229757,13988
522,GA,Seminole,32.6781248,-83.2229757,8321
523,GA,Spalding,32.6781248,-83.2229757,65306
524,GA,Stephens,32.6781248,-83.2229757,25750
525,GA,Stewart,32.6781248,-83.2229757,6293
526,GA,Sumter,32.6781248,-83.2229757,30064
527,GA,Talbot,32.6781248,-83.2229757,6321
528,GA,Taliaferro,32.6781248,-83.2229757,1603
529,GA,Tattnall,32.6781248,-83.2229757,25381
530,GA,Taylor,32.6781248,-83.2229757,8116
531,GA,Telfair,32.6781248,-83.2229757,16035
532,GA,Terrell,32.6781248,-83.2229757,8737
