,State,County,Latitude,Longitude,AveragePop2015to2019
47,AL,Marion,32.6010112,-86.6807365,29866.0
48,AL,Marshall,32.6010112,-86.6807365,95642.8
49,AL,Mobile,32.6010112,-86.6807365,414114.0
50,AL,Monroe,32.6010112,-86.6807365,21270.0
51,AL,Montgomery,32.6010112,-86.6807365,226940.8
52,AL,Morgan,32.6010112,-86.6807365,119212.6
53,AL,Perry,32.6010112,-86.6807365,9293.4
54,AL,Pickens,32.6010112,-86.6807365,20243.0
55,AL,Pike,32.6010112,-86.6807365,33333.0
56,AL,Randolph,32.6010112,-86.6807365,22646.8
57,AL,Russell,32.6010112,-86.6807365,57951.8
58,AL,St. Clair,32.6010112,-86.6807365,87988.8
59,AL,Shelby,32.6010112,-86.6807365,213431.8
60,AL,Sumter,32.6010112,-86.6807365,12796.6
61,AL,Talladega,32.6010112,-86.6807365,80387.4
62,AL,Tallapoosa,32.6010112,-86.6807365,40541.2
63,AL,Tuscaloosa,32.6010112,-86.6807365,207304.6
64,AL,Walker,32.6010112,-86.6807365,64109.8
65,AL,Washington,32.6010112,-86.6807365,16540.6
66,AL,Wilcox,32.6010112,-86.6807365,10680.6
67,AL,Winston,32.6010112,-86.6807365,23783.8
68,AK,Alaska,61.3025006,-158.7750198,737067.6
69,AK,Aleutians East,61.3025006,-158.7750198,3384.6
70,AK,Aleutians West,61.3025006,-158.7750198,5697.8
71,AK,Anchorage,61.3025006,-158.7750198,293531.0
72,AK,Bethel,61.3025006,-158.7750198,18134.4
73,AK,Bristol Bay,61.3025006,-158.7750198,878.2
74,AK,Denali,61.3025006,-158.7750198,2040.2
75,AK,Dillingham,61.3025006,-158.7750198,4961.0
76,AK,Fairbanks North Star,61.3025006,-158.7750198,99071.6
77,AK,Haines,61.3025006,-158.7750198,2517.8
78,AK,Hoonah-Angoon,61.3025006,-158.7750198,2139.0
79,AK,Juneau ,61.3025006,-158.7750198,32227.2
80,AK,Kenai Peninsula,61.3025006,-158.7750198,58463.8
81,AK,Ketchikan Gateway,61.3025006,-158.7750198,13800.0
82,AK,Kodiak Island,61.3025006,-158.7750198,13451.0
83,AK,Kusilvak,61.3025006,-158.7750198,8249.6
84,AK,Lake and Peninsula,61.3025006,-158.7750198,1599.0
85,AK,Matanuska-Susitna,61.3025006,-158.7750198,105369.0
86,AK,Nome,61.3025006,-158.7750198,9988.2
87,AK,North Slope,61.3025006,-158.7750198,9791.8
88,AK,Northwest Arctic,61.3025006,-158.7750198,7714.6
89,AK,Petersburg,61.3025006,-158.7750198,3257.4
90,AK,Prince of Wales-Hyder,61.3025006,-158.7750198,6406.8
91,AK,Sitka ,61.3025006,-158.7750198,8640.4
92,AK,Skagway,61.3025006,-158.7750198,1147.8
93,AK,Southeast Fairbanks,61.3025006,-158.7750198,6878.2
94,AK,Valdez-Cordova,61.3025006,-158.7750198,9243.2
95,AK,Wrangell ,61.3025006,-158.7750198,2502.0
96,AK,Yakutat ,61.3025006,-158.7750198,604.8
97,AK,Yukon-Koyukuk,61.3025006,-158.7750198,5377.2
98,AZ,Arizona,34.1682185,-111.930907,7050299.4
99,AZ,Apache,34.1682185,-111.930907,71511.2
100,AZ,Cochise,34.1682185,-111.930907,125867.4
101,AZ,Coconino,34.1682185,-111.930907,141273.8
102,AZ,Gila,34.1682185,-111.930907,53546.2
103,AZ,Graham,34.1682185,-111.930907,37996.0
104,AZ,Greenlee,34.1682185,-111.930907,9521.8
105,AZ,La Paz,34.1682185,-111.930907,20793.4
106,AZ,Maricopa,34.1682185,-111.930907,4328809.8
107,AZ,Mohave,34.1682185,-111.930907,207695.2
108,AZ,Navajo,34.1682185,-111.930907,109270.0
109,AZ,Pima,34.1682185,-111.930907,1027206.8
110,AZ,Pinal,34.1682185,-111.930907,432793.2
111,AZ,Santa Cruz,34.1682185,-111.930907,46480.2
112,AZ,Yavapai,34.1682185,-111.930907,228066.6
113,AZ,Yuma,34.1682185,-111.930907,209467.8
114,AR,Arkansas,34.7519275,-92.1313784,2999369.6
115,AR,Arkansas,34.7519275,-92.1313784,17913.6
116,AR,Ashley,34.7519275,-92.1313784,20269.6
117,AR,Baxter,34.7519275,-92.1313784,41426.6
118,AR,Benton,34.7519275,-92.1313784,265759.0
119,AR,Boone,34.7519275,-92.1313784,37330.8
120,AR,Bradley,34.7519275,-92.1313784,10874.4
121,AR,Calhoun,34.7519275,-92.1313784,5192.0
122,AR,Carroll,34.7519275,-92.1313784,27965.0
123,AR,Chicot,34.7519275,-92.1313784,10615.2
124,AR,Clark,34.7519275,-92.1313784,22386.4
125,AR,Clay,34.7519275,-92.1313784,14889.0
126,AR,Cleburne,34.7519275,-92.1313784,25100.0
127,AR,Cleveland,34.7519275,-92.1313784,8128.4
128,AR,Columbia,34.7519275,-92.1313784,23775.8
129,AR,Conway,34.7519275,-92.1313784,20858.2
130,AR,Craighead,34.7519275,-92.1313784,107345.0
131,AR,Crawford,34.7519275,-92.1313784,62739.4
132,AR,Crittenden,34.7519275,-92.1313784,48671.8
133,AR,Cross,34.7519275,-92.1313784,16824.2
134,AR,Dallas,34.7519275,-92.1313784,7279.4
135,AR,Desha,34.7519275,-92.1313784,11709.0
136,AR,Drew,34.7519275,-92.1313784,18416.6
137,AR,Faulkner,34.7519275,-92.1313784,123624.4
138,AR,Franklin,34.7519275,-92.1313784,17738.4
139,AR,Fulton,34.7519275,-92.1313784,12230.6
140,AR,Garland,34.7519275,-92.1313784,98555.0
141,AR,Grant,34.7519275,-92.1313784,18125.6
142,AR,Greene,34.7519275,-92.1313784,44937.4
143,AR,Hempstead,34.7519275,-92.1313784,21842.0
144,AR,Hot Spring,34.7519275,-92.1313784,33596.8
145,AR,Howard,34.7519275,-92.1313784,13311.0
146,AR,Independence,34.7519275,-92.1313784,37427.2
147,AR,Izard,34.7519275,-92.1313784,13570.4
148,AR,Jackson,34.7519275,-92.1313784,17027.2
149,AR,Jefferson,34.7519275,-92.1313784,69281.6
150,AR,Johnson,34.7519275,-92.1313784,26371.8
151,AR,Lafayette,34.7519275,-92.1313784,6799.6
152,AR,Lawrence,34.7519275,-92.1313784,16548.8
153,AR,Lee,34.7519275,-92.1313784,9193.8
154,AR,Lincoln,34.7519275,-92.1313784,13455.4
155,AR,Little River,34.7519275,-92.1313784,12347.4
156,AR,Logan,34.7519275,-92.1313784,21667.8
157,AR,Lonoke,34.7519275,-92.1313784,72528.0
158,AR,Madison,34.7519275,-92.1313784,16210.8
159,AR,Marion,34.7519275,-92.1313784,16475.8
160,AR,Miller,34.7519275,-92.1313784,43572.0
161,AR,Mississippi,34.7519275,-92.1313784,42125.6
162,AR,Monroe,34.7519275,-92.1313784,7050.2
163,AR,Montgomery,34.7519275,-92.1313784,8949.8
164,AR,Nevada,34.7519275,-92.1313784,8351.0
165,AR,Newton,34.7519275,-92.1313784,7812.4
166,AR,Ouachita,34.7519275,-92.1313784,23829.6
167,AR,Perry,34.7519275,-92.1313784,10354.8
168,AR,Phillips,34.7519275,-92.1313784,18606.2
169,AR,Pike,34.7519275,-92.1313784,10756.4
170,AR,Poinsett,34.7519275,-92.1313784,23895.6
171,AR,Polk,34.7519275,-92.1313784,20093.8
172,AR,Pope,34.7519275,-92.1313784,63761.0
173,AR,Prairie,34.7519275,-92.1313784,8188.6
174,AR,Pulaski,34.7519275,-92.1313784,392967.2
175,AR,Randolph,34.7519275,-92.1313784,17694.8
176,AR,St. Francis,34.7519275,-92.1313784,25899.6
177,AR,Saline,34.7519275,-92.1313784,119415.4
178,AR,Scott,34.7519275,-92.1313784,10376.4
179,AR,Searcy,34.7519275,-92.1313784,7908.2
180,AR,Sebastian,34.7519275,-92.1313784,127590.6
181,AR,Sevier,34.7519275,-92.1313784,17080.8
182,AR,Sharp,34.7519275,-92.1313784,17138.8
183,AR,Stone,34.7519275,-92.1313784,12475.0
184,AR,Union,34.7519275,-92.1313784,39449.2
185,AR,Van Buren,34.7519275,-92.1313784,16641.8
186,AR,Washington,34.7519275,-92.1313784,232289.2
187,AR,White,34.7519275,-92.1313784,78762.0
188,AR,Woodruff,34.7519275,-92.1313784,6533.4
189,AR,Yell,34.7519275,-92.1313784,21464.0
190,CA,California,37.2718745,-119.2704153,39283494.0
191,CA,Alameda,37.2718745,-119.2704153,1656753.8
192,CA,Alpine,37.2718745,-119.2704153,1090.6
193,CA,Amador,37.2718745,-119.2704153,38429.2
194,CA,Butte,37.2718745,-119.2704153,225816.6
195,CA,Calaveras,37.2718745,-119.2704153,45514.2
196,CA,Colusa,37.2718745,-119.2704153,21454.2
197,CA,Contra Costa,37.2718745,-119.2704153,1142250.6
198,CA,Del Norte,37.2718745,-119.2704153,27495.0
199,CA,El Dorado,37.2718745,-119.2704153,188562.6
200,CA,Fresno,37.2718745,-119.2704153,984521.4
201,CA,Glenn,37.2718745,-119.2704153,27975.8
202,CA,Humboldt,37.2718745,-119.2704153,135940.2
203,CA,Imperial,37.2718745,-119.2704153,180700.6
204,CA,Inyo,37.2718745,-119.2704153,17976.6
205,CA,Kern,37.2718745,-119.2704153,887640.6
206,CA,Kings,37.2718745,-119.2704153,150690.8
207,CA,Lake,37.2718745,-119.2704153,64195.4
208,CA,Lassen,37.2718745,-119.2704153,30817.6
209,CA,Los Angeles,37.2718745,-119.2704153,10081569.6
210,CA,Madera,37.2718745,-119.2704153,155432.8
211,CA,Marin,37.2718745,-119.2704153,259943.0
212,CA,Mariposa,37.2718745,-119.2704153,17420.0
213,CA,Mendocino,37.2718745,-119.2704153,87223.6
214,CA,Merced,37.2718745,-119.2704153,271381.6
215,CA,Modoc,37.2718745,-119.2704153,8906.8
216,CA,Mono,37.2718745,-119.2704153,14310.2
217,CA,Monterey,37.2718745,-119.2704153,433410.0
218,CA,Napa,37.2718745,-119.2704153,139622.6
219,CA,Nevada,37.2718745,-119.2704153,99243.8
220,CA,Orange,37.2718745,-119.2704153,3168044.0
221,CA,Placer,37.2718745,-119.2704153,385511.6
222,CA,Plumas,37.2718745,-119.2704153,18660.0
223,CA,Riverside,37.2718745,-119.2704153,2411439.2
224,CA,Sacramento,37.2718745,-119.2704153,1524553.2
225,CA,San Benito,37.2718745,-119.2704153,60376.0
226,CA,San Bernardino,37.2718745,-119.2704153,2149030.8
227,CA,San Diego,37.2718745,-119.2704153,3316073.4
228,CA,San Francisco,37.2718745,-119.2704153,874961.4
229,CA,San Joaquin,37.2718745,-119.2704153,742603.0
230,CA,San Luis Obispo,37.2718745,-119.2704153,282165.2
231,CA,San Mateo,37.2718745,-119.2704153,767423.2
232,CA,Santa Barbara,37.2718745,-119.2704153,444829.2
233,CA,Santa Clara,37.2718745,-119.2704153,1927470.4
234,CA,Santa Cruz,37.2718745,-119.2704153,273961.8
235,CA,Shasta,37.2718745,-119.2704153,179211.6
236,CA,Sierra,37.2718745,-119.2704153,2988.0
237,CA,Siskiyou,37.2718745,-119.2704153,43468.2
238,CA,Solano,37.2718745,-119.2704153,441829.2
239,CA,Sonoma,37.2718745,-119.2704153,499771.6
240,CA,Stanislaus,37.2718745,-119.2704153,543193.8
241,CA,Sutter,37.2718745,-119.2704153,96109.4
242,CA,Tehama,37.2718745,-119.2704153,63912.0
243,CA,Trinity,37.2718745,-119.2704153,12700.0
244,CA,Tulare,37.2718745,-119.2704153,461897.6
245,CA,Tuolumne,37.2718745,-119.2704153,54045.2
246,CA,Ventura,37.2718745,-119.2704153,847263.4
247,CA,Yolo,37.2718745,-119.2704153,217351.8
248,CA,Yuba,37.2718745,-119.2704153,76360.0
249,CO,Colorado,38.9979339,-105.550567,5610349.2
250,CO,Adams,38.9979339,-105.550567,504108.4
251,CO,Alamosa,38.9979339,-105.550567,16107.2
252,CO,Arapahoe,38.9979339,-105.550567,644559.8
253,CO,Archuleta,38.9979339,-105.550567,13253.2
254,CO,Baca,38.9979339,-105.550567,3560.8
255,CO,Bent,38.9979339,-105.550567,5786.8
256,CO,Boulder,38.9979339,-105.550567,322510.0
257,CO,Broomfield,38.9979339,-105.550567,67886.2
258,CO,Chaffee,38.9979339,-105.550567,19557.0
259,CO,Cheyenne,38.9979339,-105.550567,1844.0
260,CO,Clear Creek,38.9979339,-105.550567,9495.0
261,CO,Conejos,38.9979339,-105.550567,8128.0
262,CO,Costilla,38.9979339,-105.550567,3744.8
263,CO,Crowley,38.9979339,-105.550567,5754.2
264,CO,Custer,38.9979339,-105.550567,4776.2
265,CO,Delta,38.9979339,-105.550567,30564.8
266,CO,Denver,38.9979339,-105.550567,705576.2
267,CO,Dolores,38.9979339,-105.550567,2039.4
268,CO,Douglas,38.9979339,-105.550567,336040.6
269,CO,Eagle,38.9979339,-105.550567,54681.0
270,CO,Elbert,38.9979339,-105.550567,25716.8
271,CO,El Paso,38.9979339,-105.550567,698973.8
272,CO,Fremont,38.9979339,-105.550567,47320.8
273,CO,Garfield,38.9979339,-105.550567,59055.4
274,CO,Gilpin,38.9979339,-105.550567,6018.4
275,CO,Grand,38.9979339,-105.550567,15302.8
276,CO,Gunnison,38.9979339,-105.550567,16802.0
277,CO,Hinsdale,38.9979339,-105.550567,794.2
278,CO,Huerfano,38.9979339,-105.550567,6679.2
279,CO,Jackson,38.9979339,-105.550567,1374.6
280,CO,Jefferson,38.9979339,-105.550567,574798.2
281,CO,Kiowa,38.9979339,-105.550567,1375.2
282,CO,Kit Carson,38.9979339,-105.550567,7446.8
283,CO,Lake,38.9979339,-105.550567,7751.0
284,CO,La Plata,38.9979339,-105.550567,55617.2
285,CO,Larimer,38.9979339,-105.550567,344786.0
286,CO,Las Animas,38.9979339,-105.550567,14266.2
287,CO,Lincoln,38.9979339,-105.550567,5584.8
288,CO,Logan,38.9979339,-105.550567,22380.2
289,CO,Mesa,38.9979339,-105.550567,151218.4
290,CO,Mineral,38.9979339,-105.550567,758.8
291,CO,Moffat,38.9979339,-105.550567,13127.4
292,CO,Montezuma,38.9979339,-105.550567,26031.4
293,CO,Montrose,38.9979339,-105.550567,41686.0
294,CO,Morgan,38.9979339,-105.550567,28516.6
295,CO,Otero,38.9979339,-105.550567,18281.8
296,CO,Ouray,38.9979339,-105.550567,4796.8
297,CO,Park,38.9979339,-105.550567,17866.6
298,CO,Phillips,38.9979339,-105.550567,4289.0
299,CO,Pitkin,38.9979339,-105.550567,17926.2
300,CO,Prowers,38.9979339,-105.550567,12022.2
301,CO,Pueblo,38.9979339,-105.550567,165981.8
302,CO,Rio Blanco,38.9979339,-105.550567,6384.0
303,CO,Rio Grande,38.9979339,-105.550567,11304.8
304,CO,Routt,38.9979339,-105.550567,25071.6
305,CO,Saguache,38.9979339,-105.550567,6592.4
306,CO,San Juan,38.9979339,-105.550567,716.8
307,CO,San Miguel,38.9979339,-105.550567,8049.2
308,CO,Sedgwick,38.9979339,-105.550567,2321.6
309,CO,Summit,38.9979339,-105.550567,30649.0
310,CO,Teller,38.9979339,-105.550567,24524.2
311,CO,Washington,38.9979339,-105.550567,4867.4
312,CO,Weld,38.9979339,-105.550567,305344.6
313,CO,Yuma,38.9979339,-105.550567,10003.4
314,CT,Connecticut,41.5187835,-72.757507,3575073.4
315,CT,Fairfield,41.5187835,-72.757507,943926.2
316,CT,Hartford,41.5187835,-72.757507,893561.4
317,CT,Litchfield,41.5187835,-72.757507,182002.0
318,CT,Middlesex,41.5187835,-72.757507,163052.8
319,CT,New Haven,41.5187835,-72.757507,857512.6
320,CT,New London,41.5187835,-72.757507,267389.8
321,CT,Tolland,41.5187835,-72.757507,151063.0
322,CT,Windham,41.5187835,-72.757507,116565.6
323,DE,Delaware,39.145251,-75.4189206,957247.8
324,DE,Kent,39.145251,-75.4189206,176699.0
325,DE,New Castle,39.145251,-75.4189206,556165.0
326,DE,Sussex,39.145251,-75.4189206,224383.8
327,DC,District of Columbia,38.8993487,-77.0145666,692683.4
328,DC,District of Columbia,38.8993487,-77.0145666,692683.4
329,FL,Florida,27.9757279,-83.8330166,20901637.2
330,FL,Alachua,27.9757279,-83.8330166,265442.8
331,FL,Baker,27.9757279,-83.8330166,28211.2
332,FL,Bay,27.9757279,-83.8330166,182160.6
333,FL,Bradford,27.9757279,-83.8330166,27316.6
334,FL,Brevard,27.9757279,-83.8330166,585506.8
335,FL,Broward,27.9757279,-83.8330166,1926204.8
336,FL,Calhoun,27.9757279,-83.8330166,14362.4
337,FL,Charlotte,27.9757279,-83.8330166,181066.8
338,FL,Citrus,27.9757279,-83.8330166,145169.0
339,FL,Clay,27.9757279,-83.8330166,211405.2
340,FL,Collier,27.9757279,-83.8330166,371453.4
341,FL,Columbia,27.9757279,-83.8330166,69968.0
342,FL,DeSoto,27.9757279,-83.8330166,36902.6
343,FL,Dixie,27.9757279,-83.8330166,16588.8
344,FL,Duval,27.9757279,-83.8330166,936185.6
345,FL,Escambia,27.9757279,-83.8330166,313490.6
346,FL,Flagler,27.9757279,-83.8330166,109801.4
347,FL,Franklin,27.9757279,-83.8330166,11811.0
348,FL,Gadsden,27.9757279,-83.8330166,45945.2
349,FL,Gilchrist,27.9757279,-83.8330166,17953.2
350,FL,Glades,27.9757279,-83.8330166,13516.4
351,FL,Gulf,27.9757279,-83.8330166,15576.2
352,FL,Hamilton,27.9757279,-83.8330166,14325.8
353,FL,Hardee,27.9757279,-83.8330166,27131.0
354,FL,Hendry,27.9757279,-83.8330166,40732.2
355,FL,Hernando,27.9757279,-83.8330166,186313.0
356,FL,Highlands,27.9757279,-83.8330166,103436.8
357,FL,Hillsborough,27.9757279,-83.8330166,1422277.8
358,FL,Holmes,27.9757279,-83.8330166,19431.6
359,FL,Indian River,27.9757279,-83.8330166,153988.8
360,FL,Jackson,27.9757279,-83.8330166,47944.6
361,FL,Jefferson,27.9757279,-83.8330166,14161.4
362,FL,Lafayette,27.9757279,-83.8330166,8637.2
363,FL,Lake,27.9757279,-83.8330166,345867.4
364,FL,Lee,27.9757279,-83.8330166,737468.0
365,FL,Leon,27.9757279,-83.8330166,289770.4
366,FL,Levy,27.9757279,-83.8330166,40403.0
367,FL,Liberty,27.9757279,-83.8330166,8345.2
368,FL,Madison,27.9757279,-83.8330166,18460.2
369,FL,Manatee,27.9757279,-83.8330166,384213.4
370,FL,Marion,27.9757279,-83.8330166,353526.2
371,FL,Martin,27.9757279,-83.8330166,159065.4
372,FL,Miami-Dade,27.9757279,-83.8330166,2699428.2
373,FL,Monroe,27.9757279,-83.8330166,75797.6
374,FL,Nassau,27.9757279,-83.8330166,83098.4
375,FL,Okaloosa,27.9757279,-83.8330166,203793.8
376,FL,Okeechobee,27.9757279,-83.8330166,41144.0
377,FL,Orange,27.9757279,-83.8330166,1349746.0
378,FL,Osceola,27.9757279,-83.8330166,351955.0
379,FL,Palm Beach,27.9757279,-83.8330166,1465027.2
380,FL,Pasco,27.9757279,-83.8330166,524602.0
381,FL,Pinellas,27.9757279,-83.8330166,964665.8
382,FL,Polk,27.9757279,-83.8330166,686217.6
383,FL,Putnam,27.9757279,-83.8330166,73252.0
384,FL,St. Johns,27.9757279,-83.8330166,244673.8
385,FL,St. Lucie,27.9757279,-83.8330166,312946.6
386,FL,Santa Rosa,27.9757279,-83.8330166,174755.4
387,FL,Sarasota,27.9757279,-83.8330166,419496.0
388,FL,Seminole,27.9757279,-83.8330166,461402.4
389,FL,Sumter,27.9757279,-83.8330166,125043.8
390,FL,Suwannee,27.9757279,-83.8330166,44046.2
391,FL,Taylor,27.9757279,-83.8330166,21869.8
392,FL,Union,27.9757279,-83.8330166,15303.2
393,FL,Volusia,27.9757279,-83.8330166,536487.2
394,FL,Wakulla,27.9757279,-83.8330166,32321.4
395,FL,Walton,27.9757279,-83.8330166,68262.2
396,FL,Washington,27.9757279,-83.8330166,24763.6
397,GA,Georgia,32.6781248,-83.2229757,10403844.2
398,GA,Appling,32.6781248,-83.2229757,18440.2
399,GA,Atkinson,32.6781248,-83.2229757,8238.6
400,GA,Bacon,32.6781248,-83.2229757,11201.4
401,GA,Baker,32.6781248,-83.2229757,3132.0
402,GA,Baldwin,32.6781248,-83.2229757,45110.8
403,GA,Banks,32.6781248,-83.2229757,18708.0
404,GA,Barrow,32.6781248,-83.2229757,78990.4
405,GA,Bartow,32.6781248,-83.2229757,104919.0
406,GA,Ben Hill,32.6781248,-83.2229757,17033.4
407,GA,Berrien,32.6781248,-83.2229757,19151.6
408,GA,Bibb,32.6781248,-83.2229757,153199.8
409,GA,Bleckley,32.6781248,-83.2229757,12807.2
410,GA,Brantley,32.6781248,-83.2229757,18755.6
411,GA,Brooks,32.6781248,-83.2229757,15589.6
412,GA,Bryan,32.6781248,-83.2229757,37063.2
413,GA,Bulloch,32.6781248,-83.2229757,76119.8
414,GA,Burke,32.6781248,-83.2229757,22520.0
415,GA,Butts,32.6781248,-83.2229757,24090.2
416,GA,Calhoun,32.6781248,-83.2229757,6364.8
417,GA,Camden,32.6781248,-83.2229757,53231.0
418,GA,Candler,32.6781248,-83.2229757,10811.6
419,GA,Carroll,32.6781248,-83.2229757,117183.4
420,GA,Catoosa,32.6781248,-83.2229757,66699.6
421,GA,Charlton,32.6781248,-83.2229757,13040.4
422,GA,Chatham,32.6781248,-83.2229757,288495.8
423,GA,Chattahoochee,32.6781248,-83.2229757,10560.2
424,GA,Chattooga,32.6781248,-83.2229757,24811.6
425,GA,Cherokee,32.6781248,-83.2229757,247514.8
426,GA,Clarke,32.6781248,-83.2229757,126176.0
427,GA,Clay,32.6781248,-83.2229757,2951.0
428,GA,Clayton,32.6781248,-83.2229757,283538.0
429,GA,Clinch,32.6781248,-83.2229757,6686.4
430,GA,Cobb,32.6781248,-83.2229757,751218.0
431,GA,Coffee,32.6781248,-83.2229757,43020.6
432,GA,Colquitt,32.6781248,-83.2229757,45486.0
433,GA,Columbia,32.6781248,-83.2229757,150705.4
434,GA,Cook,32.6781248,-83.2229757,17177.2
435,GA,Coweta,32.6781248,-83.2229757,143260.4
436,GA,Crawford,32.6781248,-83.2229757,12324.6
437,GA,Crisp,32.6781248,-83.2229757,22712.6
438,GA,Dade,32.6781248,-83.2229757,16196.6
439,GA,Dawson,32.6781248,-83.2229757,24535.6
440,GA,Decatur,32.6781248,-83.2229757,26682.2
441,GA,DeKalb,32.6781248,-83.2229757,749323.0
442,GA,Dodge,32.6781248,-83.2229757,20828.6
443,GA,Dooly,32.6781248,-83.2229757,13735.4
444,GA,Dougherty,32.6781248,-83.2229757,89703.0
445,GA,Douglas,32.6781248,-83.2229757,143316.0
446,GA,Early,32.6781248,-83.2229757,10312.2
447,GA,Echols,32.6781248,-83.2229757,3981.2
448,GA,Effingham,32.6781248,-83.2229757,60477.0
449,GA,Elbert,32.6781248,-83.2229757,19165.8
450,GA,Emanuel,32.6781248,-83.2229757,22532.6
451,GA,Evans,32.6781248,-83.2229757,10687.0
452,GA,Fannin,32.6781248,-83.2229757,25395.0
453,GA,Fayette,32.6781248,-83.2229757,112302.8
454,GA,Floyd,32.6781248,-83.2229757,97369.2
455,GA,Forsyth,32.6781248,-83.2229757,228383.2
456,GA,Franklin,32.6781248,-83.2229757,22766.0
457,GA,Fulton,32.6781248,-83.2229757,1036199.8
458,GA,Gilmer,32.6781248,-83.2229757,30414.4
459,GA,Glascock,32.6781248,-83.2229757,2995.6
460,GA,Glynn,32.6781248,-83.2229757,84470.4
461,GA,Gordon,32.6781248,-83.2229757,57202.4
462,GA,Grady,32.6781248,-83.2229757,24827.6
463,GA,Greene,32.6781248,-83.2229757,17349.2
464,GA,Gwinnett,32.6781248,-83.2229757,915045.8
465,GA,Habersham,32.6781248,-83.2229757,44626.4
466,GA,Hall,32.6781248,-83.2229757,198667.2
467,GA,Hancock,32.6781248,-83.2229757,8515.0
468,GA,Haralson,32.6781248,-83.2229757,29226.6
469,GA,Harris,32.6781248,-83.2229757,34105.4
470,GA,Hart,32.6781248,-83.2229757,25773.4
471,GA,Heard,32.6781248,-83.2229757,11736.0
472,GA,Henry,32.6781248,-83.2229757,225356.2
473,GA,Houston,32.6781248,-83.2229757,153506.6
474,GA,Irwin,32.6781248,-83.2229757,9320.2
475,GA,Jackson,32.6781248,-83.2229757,67885.0
476,GA,Jasper,32.6781248,-83.2229757,13916.0
477,GA,Jeff Davis,32.6781248,-83.2229757,15036.0
478,GA,Jefferson,32.6781248,-83.2229757,15617.6
479,GA,Jenkins,32.6781248,-83.2229757,8793.0
480,GA,Johnson,32.6781248,-83.2229757,9690.8
481,GA,Jones,32.6781248,-83.2229757,28579.2
482,GA,Lamar,32.6781248,-83.2229757,18671.6
483,GA,Lanier,32.6781248,-83.2229757,10380.4
484,GA,Laurens,32.6781248,-83.2229757,47404.6
485,GA,Lee,32.6781248,-83.2229757,29502.0
486,GA,Liberty,32.6781248,-83.2229757,61348.8
487,GA,Lincoln,32.6781248,-83.2229757,7855.8
488,GA,Long,32.6781248,-83.2229757,18692.0
489,GA,Lowndes,32.6781248,-83.2229757,115364.2
490,GA,Lumpkin,32.6781248,-83.2229757,32402.0
491,GA,McDuffie,32.6781248,-83.2229757,21454.6
492,GA,McIntosh,32.6781248,-83.2229757,14173.6
493,GA,Macon,32.6781248,-83.2229757,13305.4
494,GA,Madison,32.6781248,-83.2229757,29218.4
